Promedio de Rad,ene,feb,mar,abr,may,jun,jul,ago,sept,oct,nov,dic
1981,16.79,16.96,19.84,15.63,16.16,16.47,16.84,17.26,18.20,16.74,17.00,15.90
1982,15.94,17.36,19.26,15.57,15.61,16.37,16.74,17.65,17.43,16.84,16.10,15.03
1983,16.23,17.89,20.03,15.83,14.61,15.90,17.23,17.90,18.47,17.23,17.43,15.55
1984,16.13,18.76,20.19,18.20,18.77,17.17,17.03,16.74,17.83,17.32,15.30,15.45
1985,17.13,18.50,18.84,18.83,16.74,16.67,17.94,17.19,18.37,17.06,16.00,15.29
1986,16.03,18.04,19.97,16.73,16.90,17.03,17.74,17.84,16.97,17.35,15.80,15.97
1987,17.10,18.50,18.77,18.17,14.84,15.93,16.65,17.03,17.97,17.39,16.53,16.74
1988,16.52,18.24,20.48,18.33,17.42,17.00,17.45,17.19,17.57,16.32,16.13,15.19
1989,15.77,18.04,19.90,20.17,16.23,17.23,16.29,17.90,17.57,17.26,16.27,16.77
1990,15.90,16.93,18.81,17.43,16.94,16.13,17.58,17.45,18.27,17.42,16.37,16.32
1991,16.97,18.50,19.52,17.73,17.81,17.07,17.26,16.29,16.97,17.16,15.60,15.48
1992,16.10,18.34,19.58,18.13,16.03,15.63,15.65,17.03,15.20,16.35,15.53,15.61
1993,16.06,18.86,19.42,17.57,15.81,16.60,18.35,17.71,18.33,18.55,15.63,16.45
1994,17.26,18.28,18.69,16.67,16.44,19.58,20.00,19.01,17.10,18.26,17.43,17.52
1995,17.32,18.57,19.13,17.67,16.52,15.57,17.58,17.35,18.50,16.42,16.40,16.51
1996,17.10,18.03,20.00,19.17,17.52,15.90,17.00,18.65,18.10,16.68,16.07,15.58
1997,20.90,22.71,25.52,24.37,19.06,17.13,15.65,18.06,19.57,17.48,18.33,20.58
1998,17.55,17.79,19.13,17.07,15.26,15.83,17.71,18.65,18.30,17.39,17.00,16.23
1999,16.81,18.20,19.68,15.73,16.75,16.73,17.35,16.77,22.17,19.12,17.33,17.01
2000,19.30,20.90,23.13,23.63,20.64,21.30,20.58,19.52,25.09,23.16,18.73,20.06
2001,20.71,22.00,23.58,20.92,18.32,19.68,22.42,18.48,22.11,20.77,21.60,18.44
2002,19.58,22.76,23.82,21.21,20.86,19.20,23.36,22.37,21.33,22.19,21.33,19.52
2003,22.61,23.00,21.78,19.24,20.65,21.44,20.70,20.65,21.33,18.06,20.95,22.48
2004,21.35,23.50,23.28,22.80,20.33,25.83,23.49,22.61,24.20,20.50,21.50,21.35
2005,21.39,21.65,24.29,22.27,21.81,22.99,20.78,21.90,22.80,21.87,19.73,21.90
2006,22.65,24.50,22.87,22.39,18.95,21.41,22.59,22.21,25.86,21.79,24.39,22.55
2007,16.79,26.94,26.74,24.12,18.74,17.80,18.56,16.26,18.77,17.45,16.63,16.94
2008,17.09,19.59,21.32,20.14,18.37,17.17,18.35,18.15,18.57,14.58,13.68,17.12
2009,16.75,17.79,19.16,20.27,19.09,18.93,18.26,19.30,19.70,18.29,16.80,17.97
2010,15.81,18.45,19.30,15.47,17.84,16.70,16.98,17.61,18.28,17.97,14.27,15.68
2011,16.71,17.43,20.39,17.53,15.74,17.97,17.60,18.26,17.59,18.47,16.38,15.32
2012,16.00,19.34,17.29,18.53,17.13,18.57,17.19,17.06,19.00,18.03,17.30,16.06
2013,16.55,19.46,19.03,17.87,17.32,18.77,18.71,17.55,17.07,17.90,16.66,16.45
2014,18.26,18.71,20.19,18.48,17.47,18.60,18.01,16.13,19.27,16.56,15.16,16.48
