Promedio de Tmax,ene,feb,mar,abr,may,jun,jul,ago,sept,oct,nov,dic
1981,32.24,33.14,33.12,30.41,30.19,29.71,28.32,29.01,29.46,30.08,31.23,31.03
1982,30.8,31.58,31.92,30.31,29.68,30.19,31,30.75,31.06,31.01,32.23,32.66
1983,34.02,35,35.98,34.48,31.74,27.53,30.81,30.31,30.62,30.6,31.56,31.27
1984,31.65,31.72,31.57,31.6,31.64,30.73,29.08,28.98,29.34,29.96,29.71,29.65
1985,30.25,31.19,31.61,32.26,31.06,30.56,30.02,29.8,30.91,30.61,30.28,30.03
1986,31.69,32.61,33.31,34.22,32.41,30.9,31.2,31.34,30.7,30.91,30.95,31.45
1987,32.85,34.69,34.76,35.52,32.03,31.08,31.3,31.35,31.93,32.49,32.08,32.26
1988,32.32,32.53,33.54,34.71,33.58,30.17,30.23,30.15,31.12,31.12,30.89,30.64
1989,30.86,31.5,32.09,33.8,32.19,31.82,30.84,32.27,31.89,31.51,31.68,31.35
1990,31.8,31.79,33.25,33.75,31.99,30.83,30.1,30.64,32.13,32.46,32.75,32.94
1991,33.35,34.47,33.42,32.6,32.48,30.78,30.52,28.18,30.75,30.98,31.02,31.03
1992,31.64,32.8,33.8,34.13,31.63,30.5,29.51,30.54,29.78,29.23,31.31,31.05
1993,31.9,33.04,33.75,32.57,30.59,30.47,30.68,30,30.89,31.96,30.91,32.17
1994,32.07,32.98,32.59,33.85,32.96,33.77,32.19,32.49,31.25,31.88,31.93,32.86
1995,32.85,33.45,32.67,32.16,32.5,29.89,30.41,30.19,31.01,30.84,30.91,31.92
1996,32.15,33.04,33.74,33.54,32.1,29.58,29.36,29.93,30.51,30.87,31.15,31.35
1997,31.57,32.48,32.85,33.6,32.44,31.52,30.59,30.33,31.83,32.03,32.36,32.5
1998,33.85,34.79,34.66,32.54,31.5,30.57,30.77,32.12,31.94,31.2,31.5,32.36
1999,32.23,33.03,34.52,32.15,33.58,32.36,31.12,30.78,31.95,32.02,31.9,31.18
2000,30.77,31.53,32.54,33.52,32.89,32.39,32.38,32.27,32.03,31.84,30.97,32.24
2001,32.72,32.55,35.31,34.17,34.82,32.74,32.48,30.93,32.13,32.62,32.79,32.4
2002,31.7,34.36,35.04,34.33,32.79,31.3,32.11,32.09,32.11,32.81,32.72,32.78
2003,34.11,34.63,35.89,33.85,33.29,31.82,30.94,31.26,32.07,32.37,32.07,32.08
2004,32.68,33.31,34.22,33.99,31.44,31.21,31.25,31,31.42,31.29,30.66,31.72
2005,31.91,32.63,34.08,32.76,31.14,30.08,29.88,30.37,30.06,30.72,30.98,30.12
2006,30.64,31.14,32.18,32.56,30.01,30.06,29.77,29.67,31.59,31.42,30.65,31.44
2007,31.92,34.11,34.27,33.75,33.25,32.18,32.14,30.82,31.76,31.25,32.65,31.81
2008,31.78,32.36,34.03,33.74,32.07,32.16,31.69,31.87,31.75,32.33,32.02,31.72
2009,32.04,31.77,32.46,34.43,32.65,32.49,32.97,32.1,33.18,32.8,33.52,32.51
2010,31.76,36.45,36.63,32.84,32.61,31.04,31.08,30.92,31.9,32.45,31,31.83
2011,31.65,32.09,32.64,32.15,31.33,31.57,31.19,31.44,31.34,32,31.86,30.89
2012,31.23,32.1,32.08,32.08,31.59,31.58,30.25,29.59,30.75,31.02,31.6,31.25
2013,31.85,33.25,35.3,33.91,32.29,32.15,32.17,31.42,32.12,32.24,31.63,31.79
2014,32.49,33.14,34.7,34.91,33.62,33.57,32.4,31.6,32.46,32.12,32.35,32.47
