Promedio de Tmin,ene,feb,mar,abr,may,jun,jul,ago,sept,oct,nov,dic
1981,16.93,21.28,19.61,21.60,21.45,20.81,19.25,19.42,19.84,20.06,20.05,19.60
1982,17.82,18.77,18.47,21.19,21.13,20.89,20.63,20.70,21.12,20.64,20.49,20.74
1983,20.79,21.21,22.55,25.71,24.27,21.93,19.87,21.12,21.05,20.61,20.28,19.46
1984,20.10,20.56,20.50,21.53,21.61,21.92,20.93,21.14,20.85,21.05,21.36,19.54
1985,18.40,19.26,21.01,22.73,23.36,21.45,19.74,19.54,20.04,20.11,19.05,18.04
1986,18.06,18.04,19.12,22.39,21.84,20.03,19.87,19.78,19.70,19.89,19.72,18.17
1987,18.65,20.48,22.25,23.51,23.09,21.64,21.62,21.72,21.98,22.19,21.05,19.61
1988,17.62,19.13,19.18,22.37,22.95,21.10,21.05,21.18,21.09,20.99,20.36,19.21
1989,18.65,18.49,19.76,21.44,22.62,21.42,21.93,22.51,22.33,21.32,19.81,17.04
1990,18.17,18.34,20.06,22.53,22.04,21.35,19.00,19.32,20.04,20.57,19.76,18.00
1991,16.89,18.27,18.95,20.41,20.67,19.30,18.25,18.27,20.33,20.60,20.25,18.28
1992,17.62,19.02,19.18,22.37,22.95,21.10,21.02,21.19,21.09,20.99,20.36,19.15
1993,18.81,19.64,20.48,22.22,22.38,21.18,20.54,20.48,20.81,20.79,20.21,19.24
1994,15.22,15.58,17.14,19.59,20.51,20.33,18.82,19.42,18.49,18.62,17.70,17.48
1995,18.29,18.87,20.98,21.81,22.34,21.55,21.01,21.13,20.54,20.74,19.83,19.43
1996,17.53,19.86,19.85,21.24,22.22,21.20,20.66,20.34,20.58,20.55,20.44,19.19
1997,17.52,19.15,18.22,21.17,22.06,21.73,21.45,20.21,20.92,21.37,20.70,18.85
1998,19.04,21.59,21.65,22.90,22.69,21.67,20.93,21.92,21.75,21.08,20.31,20.18
1999,15.67,16.16,16.99,19.66,18.33,18.59,18.75,18.91,19.13,18.74,17.38,16.67
2000,15.64,15.04,15.48,16.68,19.51,18.28,18.13,17.69,19.03,18.74,17.88,15.36
2001,14.23,14.36,16.01,17.05,19.72,18.91,19.34,19.20,16.50,17.95,18.26,17.90
2002,16.08,17.88,19.80,21.94,22.36,21.29,20.33,20.12,21.38,21.71,20.53,19.13
2003,18.90,20.50,18.03,20.35,20.27,20.51,19.94,19.58,19.56,19.91,19.05,17.42
2004,15.33,15.41,17.31,20.24,20.62,19.15,18.70,19.85,19.21,19.16,18.90,17.14
2005,17.03,17.43,17.37,20.16,20.70,19.59,19.68,19.06,23.20,22.75,23.18,19.29
2006,20.64,19.74,21.10,21.94,22.40,22.11,22.17,21.07,21.06,22.02,21.51,20.75
2007,21.32,16.71,17.26,19.37,20.30,18.73,19.04,19.89,18.42,19.32,18.09,16.54
2008,14.93,15.38,15.90,17.97,19.06,19.12,18.23,18.27,19.15,19.45,18.94,15.94
2009,16.25,16.07,17.65,19.29,20.39,19.60,19.75,19.99,20.32,19.48,19.53,16.24
2010,15.57,16.15,18.29,18.79,18.44,19.55,19.91,19.77,19.25,18.81,19.23,17.85
2011,15.99,16.10,16.67,18.77,20.42,19.11,17.81,17.99,19.11,18.79,18.95,21.90
2012,15.44,15.08,17.00,18.19,19.27,18.42,18.86,19.19,17.98,18.52,16.40,16.56
2013,15.05,15.09,18.57,19.90,19.60,19.76,19.29,19.46,18.94,19.11,18.45,17.19
2014,15.43,15.66,15.99,20.69,21.15,20.46,20.08,19.79,19.60,19.68,19.06,17.24
