Total de Humedad,ene,feb,mar,abr,may,jun,jul,ago,sept,oct,nov,dic
1981,67.0863,65.7334,80.82955,61.0688,63.98245,67.0005,67.18965,71.4307,68.33525,61.6719,62.593,58.70505
1982,62.489,63.49535,81.14085,60.60545,58.12345,82.67665,87.9515,83.7528,75.11545,64.1641,62.01925,63.0754
1983,67.7943,67.985,85.30545,69.7337,60.41755,58.62655,86.84945,72.68275,76.84935,66.38295,64.7666,61.65115
1984,67.7469,71.845,81.32805,74.1421,82.3095,85.48775,77.37115,73.96575,71.34625,66.7825,56.72255,63.06175
1985,65.58815,67.53185,78.171,75.4962,67.061,83.5078,83.09575,70.78935,76.26265,62.77035,58.67065,57.8991
1986,61.9922,65.15995,82.19,73.21935,68.6192,72.3715,87.1074,83.1189,66.1641,67.5506,61.15505,64.92645
1987,67.5421,67.6251,85.80925,77.68595,65.3198,69.79715,78.464,82.64395,72.91045,70.1242,63.9628,67.6847
1988,65.12985,70.0024,88.607,78.68575,74.4362,73.5133,71.1666,69.5168,65.719,63.42005,59.1722,61.14825
1989,61.3671,65.94905,79.38765,84.27105,67.2449,89.84095,76.95055,80.7154,69.7217,66.3835,62.95845,62.7107
1990,64.22455,63.30615,79.05745,72.2476,69.7717,75.01525,75.15455,79.93135,76.9222,68.8958,60.16605,66.6826
1991,68.5135,70.1738,79.28905,71.11965,74.1516,83.08255,78.14665,60.08295,64.2493,68.06345,57.30185,57.71195
1992,62.86495,70.2391,83.15645,77.1046,70.05985,69.3497,72.14695,72.17805,61.45675,63.497,58.37925,61.73485
1993,66.0124,71.5138,81.44135,71.7317,59.04235,77.4033,82.4395,75.27105,73.2765,74.90385,60.0926,67.0396
1994,65.87775,64.61615,72.53785,68.4209,68.75545,88.48815,85.89665,84.2866,66.19515,68.4637,63.6517,69.7781
1995,70.36205,67.281,81.37675,75.41705,68.97735,76.4429,83.60595,73.9089,73.868,66.4333,61.1059,65.66935
1996,69.9801,71.82115,82.4431,78.07225,72.34105,78.27895,66.405,81.8415,69.1341,62.71145,60.32895,63.039
1997,81.75015,80.5872,98.95795,92.82295,78.369,72.8877,68.83565,87.2182,78.67885,70.501,68.09135,78.2167
1998,73.0779,69.001,81.07675,70.06645,65.2152,73.84025,75.11025,85.74425,77.03295,66.3508,62.9772,64.7668
1999,65.56635,66.18165,80.30535,61.214,69.55295,80.1194,69.42215,67.83035,79.0318,72.08115,63.9316,63.2958
2000,71.33465,73.17815,87.2786,89.86695,78.6613,88.9508,87.81125,81.124,87.46165,84.4564,68.95265,73.67165
2001,78.9509,73.84165,92.47055,79.82865,79.042,81.5197,79.6989,75.4698,80.0012,79.15485,80.51885,70.81685
2002,76.12995,79.6686,96.96915,87.97095,81.97815,78.173,96.1026,81.7231,81.288,86.80845,79.72955,74.0586
2003,86.30615,85.37205,89.43255,77.07975,82.5492,92.08975,84.0765,83.90595,75.2913,68.1526,76.2112,83.01245
2004,76.4057,82.471,94.7866,88.69125,76.769,93.71455,92.28285,87.1208,87.2295,72.5613,75.8489,78.8179
2005,80.1975,73.47175,93.73795,87.88755,83.2288,89.2219,81.87965,82.8283,83.52185,83.00045,72.3137,81.3603
2006,85.3506,85.7666,91.6584,91.7007,74.4679,85.23995,99.03485,84.05215,96.2681,85.4653,86.32055,86.21635
2007,67.4313,95.88165,104.0137,91.81405,77.47005,75.23635,85.67405,68.0572,75.82635,67.83295,64.6335,63.733
2008,68.96,69.32895,81.4602,78.68,73.0594,82.6769,80.544,79.6138,71.03005,56.0478,52.81735,64.7801
2009,63.17565,67.2964,75.8594,80.81285,76.96435,87.54315,90.39805,82.71175,82.81845,72.6978,67.10095,69.8044
2010,61.09375,69.54945,82.38465,59.20385,68.68155,64.93025,66.83445,70.71015,71.01375,69.4534,51.0252,59.5587
2011,62.4987,59.9432,80.01965,69.43015,62.45965,79.44575,75.26985,76.47085,65.30235,66.44055,60.3001,59.75965
2012,64.1359,73.36025,71.86685,70.65265,64.8935,85.32445,80.8186,67.29515,73.9872,66.81735,63.00865,62.3497
2013,63.37975,68.29335,80.52505,71.7455,69.7141,82.4448,92.1832,70.9309,69.635,70.0861,59.3463,63.24745
2014,66.90165,70.73805,82.47915,74.84965,72.53645,85.2195,84.33805,72.93165,73.67835,64.0743,59.50995,66.7142
